#{"t_start": 1620265106.5706356, "env_id": null}
r,l,t
0.962,39,4.424314
-0.064462,200,6.867419
-0.334016,200,6.867419
-0.113377,200,6.867419
-0.298535,200,6.867915
-0.353412,200,6.867915
-0.318234,200,6.867915
-0.217624,200,6.867915
-0.553017,200,7.487176
-0.51996,200,9.921911
0.162255,200,9.921911
-0.07726,200,9.921911
-0.522583,200,9.921911
-0.063539,200,9.921911
-0.287656,200,9.921911
-0.083155,200,9.922409
0.987,14,10.164817
1.052469,29,10.397746
-0.382652,200,10.548664
-0.277439,200,13.021164
0.044005,200,13.02166
-0.435214,200,13.02166
-0.146335,200,13.02166
-0.589901,200,13.02166
-0.232027,200,13.2647
-0.450091,200,13.498744
-0.204905,200,13.653993
-0.077482,200,16.550301
-0.354444,200,16.550301
-0.369706,200,16.550301
-0.061773,200,16.550301
-0.199761,200,16.550788
-0.060006,200,16.936675
-0.12159,200,17.3305
0.014727,200,17.59338
-0.207945,200,20.283027
-0.104852,200,20.283027
0.266985,200,20.283027
0.136233,200,20.283523
0.262603,200,20.283523
-0.424513,200,20.525003
-0.512453,200,20.757132
0.023325,200,20.9099
-0.347836,200,24.147366
-0.457862,200,24.147862
0.060575,200,24.147862
-0.171266,200,24.147862
-0.164396,200,24.147862
-0.062351,200,24.426118
0.022209,200,24.698422
0.006167,200,24.864695
-0.219457,200,27.372431
0.203884,200,27.372431
-0.538014,200,27.372431
-0.136233,200,27.372431
-0.025374,200,27.372431
-0.3059,200,27.623064
-0.565901,200,27.8572
-0.397995,200,28.010463
-0.510868,200,30.530524
-0.298979,200,30.530524
-0.183571,200,30.53102
-0.294533,200,30.53102
-0.246426,200,30.53102
-0.349371,200,30.758684
-0.27093,200,30.986191
0.25344,200,31.158301
-0.294327,200,33.737228
-0.473622,200,33.737228
-0.180619,200,33.737724
-0.135788,200,33.737724
-0.042195,200,33.737724
0.146304,200,33.983243
0.086055,200,34.225292
0.299187,200,34.387483
-0.375777,200,36.984075
0.360413,200,36.984571
-0.176482,200,36.984571
-0.025162,200,36.984571
-0.114351,200,36.984571
0.269305,200,37.224806
-0.14322,200,37.464528
-0.315795,200,37.623744
0.992424,65,38.477656
0.065376,200,40.13397
-0.194202,200,40.13397
-0.711277,200,40.134465
-0.129304,200,40.134465
-0.191694,200,40.134465
-0.391419,200,40.37304
-0.724892,200,40.777282
-0.227909,200,41.62147
-0.418449,200,43.342645
-0.306563,200,43.343178
-0.074194,200,43.343178
-0.222627,200,43.343178
-0.428705,200,43.343178
-0.316049,200,43.584197
-0.353189,200,44.003813
-0.545409,200,44.935496
0.01418,200,46.714454
-0.418471,200,46.714454
0.032006,200,46.714454
-0.032446,200,46.714951
-0.503121,200,46.714951
-0.411251,200,46.942615
0.057007,200,47.323047
1.226234,79,47.946896
0.011429,200,48.182
-0.131156,200,49.95769
-0.669457,200,49.95769
-0.575319,200,49.95769
-0.300946,200,49.95769
0.061936,200,50.19023
0.093594,200,50.590863
-0.102886,200,51.222769
-0.17836,200,51.475727
-0.399395,200,53.252431
-0.329176,200,53.252431
-0.08189,200,53.252431
-0.130109,200,53.252927
-0.407921,200,53.498446
1.173206,145,53.728094
-0.358603,200,54.083728
-0.395362,200,55.372267
0.064892,200,57.742688
-0.329155,200,57.743185
-0.470818,200,57.743185
-0.21586,200,57.743185
1.307028,190,57.827009
-0.417358,200,58.165776
-0.263404,200,58.400747
-0.305417,200,59.295788
-0.178222,200,60.989669
-0.18055,200,60.989669
-0.023415,200,60.989669
0.093079,200,60.990164
-0.456203,200,61.067541
-0.293971,200,61.392421
-0.285237,200,61.621573
-0.19594,200,62.52442
-0.01899,200,64.488804
-0.704036,200,64.4893
0.024988,200,64.4893
-0.370657,200,64.4893
-0.477807,200,64.564195
-0.229067,200,64.880644
-0.403556,200,65.124676
1.344398,54,65.394287
-0.104282,200,66.047222
-0.457712,200,67.828503
-0.232897,200,67.828503
0.020256,200,67.828503
0.044688,200,67.903896
-0.392505,200,68.219463
-0.095314,200,68.44886
-0.220491,200,68.689234
-0.257889,200,69.304897
0.097984,200,70.973515
-0.340203,200,70.973515
-0.280114,200,70.973515
-0.121435,200,71.048907
-0.207031,200,71.358212
0.345653,200,71.592819
-0.348753,200,71.842038
-0.289678,200,72.457577
-0.28671,200,74.104339
-0.408597,200,74.104339
-0.333303,200,74.104339
-0.336972,200,74.180722
-0.335813,200,74.525442
-0.176134,200,74.791299
1.029906,39,74.791299
-0.277564,200,75.066083
-0.407756,200,75.706619
0.988083,105,76.71059
-0.34443,200,77.364259
-0.199255,200,77.364755
-0.057195,200,77.426754
-0.152783,200,77.736259
0.078598,200,77.978307
0.101393,200,77.978307
1.302866,55,78.89308
-0.296425,200,78.89308
-0.009394,200,79.941308
0.137987,200,80.574206
-0.409844,200,80.574702
-0.042878,200,80.640669
-0.128701,200,80.961626
-0.710669,200,81.190778
1.026026,20,81.503335
-0.047284,200,82.043479
-0.574688,200,82.043479
1.254127,115,82.445225
0.061351,200,83.08129
-0.097949,200,83.724173
-0.021154,200,83.724173
-0.225541,200,84.10816
0.803945,130,84.10816
0.045493,200,84.664539
-0.085486,200,85.223155
0.996,5,85.303011
-0.040407,200,85.617302
-0.192613,200,86.24276
-0.187925,200,86.893923
-0.072345,200,86.893923
0.154959,200,87.381996
-0.226997,200,87.382483
-0.016517,200,88.264315
-0.367949,200,89.040099
-0.17063,200,89.359027
0.795467,154,89.917711
-0.242645,200,90.008541
-0.213477,200,90.757754
-0.565291,200,91.269627
0.12387,200,91.269627
-0.331582,200,92.047355
-0.349393,200,92.688498
-0.614198,200,93.000783
-0.422264,200,93.561611
-0.398295,200,93.648412
1.08741,140,93.728763
-0.5831,200,94.302746
-0.225703,200,94.949035
-0.433432,200,95.729727
-0.319696,200,96.352208
0.408386,200,96.667838
0.085447,200,97.229807
-0.22474,200,97.320575
-0.126915,200,97.400001
